Image,PSNR_Gaussian,PSNR_Median,PSNR_Bilateral
425_img_.png,29.73361557208691,32.25128213383744,29.996308470748133
428_img_.png,29.36641717422045,30.878804228579643,29.873109406507197
429_img_.png,30.221595817748224,33.654530464023736,30.35567760385904
42_img_.png,27.092889305310457,26.600736802099917,28.108972669711818
432_img_.png,30.552907452424005,35.98580769123828,31.13243895404012
433_img_.png,28.328683046714307,28.703686197757815,28.98639206940445
435_img_.png,30.024579030226025,32.918616439973654,30.54729121036194
436_img_.png,29.387984588525484,30.789632333647372,29.627808801844438
437_img_.png,30.361464822050074,34.94913620038728,30.827298935185297
438_img_.png,30.293677031799685,33.77646016412677,30.433031852329066
439_img_.png,30.491019516585702,36.03664439178168,31.15563954752316
43_img_.png,26.08328920086212,25.770587110341673,28.358176072100896
440_img_.png,30.516031188436937,35.95324915165902,31.135406497429045
441_img_.png,30.281927221724054,34.261494661009586,30.578678091015203
442_img_.png,27.353820309925982,26.42842274327623,28.247939453648833
443_img_.png,27.899714096054716,27.045014313832645,27.921590868764916
444_img_.png,30.183339580905386,33.30629905421201,30.148530184589134
445_img_.png,29.548201392775727,30.97679291978352,29.346312013932558
446_img_.png,29.531387801982667,31.604478139707904,29.86687859615218
447_img_.png,30.25409063540684,34.13528221219692,30.592255058536782
448_img_.png,26.3244509886026,26.214189596894634,28.49541951239477
449_img_.png,27.91758379947353,28.527849429457653,29.15189059110332
44_img_.png,25.663760060863694,24.692451361237712,26.968559131939337
450_img_.png,28.96756898473585,30.16069387573257,29.725913094011986
451_img_.png,29.074167480228965,30.080691635093633,29.647400987507694
452_img_.png,22.320776754678672,21.363377461515466,26.963640994663507
453_img_.png,30.003127861512965,33.035875512652574,30.362675137118693
454_img_.png,30.66449353406505,37.855373818450886,31.484175199118933
455_img_.png,30.430659213328568,36.23952016519817,31.153679880442333
457_img_.png,29.39602227341993,30.207850404087594,29.2018159889829
458_img_.png,30.062410490099385,33.14525040876083,30.201716796599193
459_img_.png,26.281712824114052,24.939507775221863,28.348420821645917
45_img_.png,30.493431688289633,36.441922536358824,31.15431949655864
460_img_.png,25.87469021703337,25.348471744017345,28.336269836496704
461_img_.png,29.658439131834157,31.303876425208014,30.046595847805392
462_img_.png,30.122179339951913,32.589518852297836,30.005842780788015
463_img_.png,25.32180149017558,24.34012257851608,27.820375359064702
464_img_.png,26.981023442045394,26.534098994920747,28.224300639420406
465_img_.png,27.526537497578033,27.59829097447589,29.399943150249275
466_img_.png,25.77154013649065,24.773847599712976,28.179148849481482
467_img_.png,29.838549186246087,32.3262928281465,29.904399290758434
468_img_.png,25.966596974961867,25.19300423344204,27.659639372982458
469_img_.png,30.437208494212484,34.48257417910015,30.68196491200155
46_img_.png,28.988471367660008,30.369600398276553,29.937343358760575
470_img_.png,30.619493085617762,37.10811696251482,31.335456528421922
471_img_.png,30.3097697138594,33.87570064680663,30.507023580307987
472_img_.png,29.627641631345767,31.922131516646527,29.89074943929083
473_img_.png,29.973988525699475,33.2315905027078,30.701646824234345
476_img_.png,29.896849531029925,32.46275841136763,30.083257906097536
477_img_.png,29.69515597063576,31.554488263387523,29.633628675411163
478_img_.png,29.44266450636452,31.000344528874525,29.556636610557195
479_img_.png,30.78102323393511,36.56400765324007,31.356019399040996
480_img_.png,30.516459758962174,36.24521893061326,31.11214087602171
481_img_.png,29.28718134586377,30.856144627428826,29.31456280115226
482_img_.png,25.16120720102725,23.64137450157175,27.07979591421799
483_img_.png,24.33010347477438,22.71674574648288,27.62582185543789
484_img_.png,26.08186299884451,25.50836232862722,27.433733403723117
485_img_.png,30.453803539501806,35.672872442942925,31.17636350348544
486_img_.png,30.30802936117343,34.344525419234316,30.57914041310392
487_img_.png,28.976772250004352,29.891476787082194,29.524086309583517
488_img_.png,29.058781405740923,30.25362995422256,29.744383607812424
